Date,PM2.5,Site Name,CBSA_NAME,STATE,COUNTY,Month
2020-07-24,6.6,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
2020-07-25,8.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
2020-07-26,7.2,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
2020-07-27,5.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
2020-07-28,6.2,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
2020-07-29,4.7,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
2020-07-30,5.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
2020-07-31,5.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
2020-08-01,3.7,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
2020-08-02,4.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
2020-08-03,4.5,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
2020-08-04,4.2,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
2020-08-05,5.2,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
2020-08-06,4.7,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
2020-08-07,7.1,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
2020-08-08,10.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
2020-08-09,9.5,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
2020-08-10,6.5,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
2020-08-11,6.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
2020-08-12,6.4,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
2020-08-13,5.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
2020-08-14,6.1,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
2020-08-15,6.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
2020-08-16,14.1,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
2020-08-17,13.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
2020-08-18,18.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
2020-08-19,45.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
2020-08-20,63.4,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
2020-08-21,54.5,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
2020-08-22,46.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
2020-08-23,99.9,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
2020-08-24,57.9,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
2020-08-25,26.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
2020-08-26,11.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
2020-08-27,9.2,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
